stem	back	front	log_odds_back	stem_freq	stem_varies	sd_back
azbeszt	30	3407	-4.732390035998812	3437	TRUE	5.453269086520222
bagett	24	4529	-5.240202613208268	4553	TRUE	4.886050553012019
bagger	6	47	-2.0583881324820035	53	TRUE	2.306676118786756
bakter	366	268	0.3116463528905096	634	TRUE	12.438365397187173
balek	5215	225	3.1431939652304526	5440	TRUE	14.686522182720097
balett	2755	14133	-1.635095045781136	16888	TRUE	48.016319836385144
bankett	107	5232	-3.8897200586751284	5339	TRUE	10.23990190063518
barchesz	8	37	-1.5314763709643884	45	TRUE	2.5647178748895127
barrel	2	81	-3.7013019741124937	83	TRUE	1.3970709462713993
barter	45	564	-2.528391761727739	609	TRUE	6.455608170210661
bojler	312	915	-1.075920877466039	1227	TRUE	15.253361487712032
borcet	0	10	-Inf	10	FALSE	0
bovden	13	531	-3.709812663780402	544	TRUE	3.5622097404973387
brojler	1	255	-5.541263545158426	256	TRUE	0.998044963916957
bróker	28	8545	-5.720897085374487	8573	TRUE	5.282854351498676
brúder	2	8	-1.3862943611198906	10	TRUE	1.2649110640673518
bukfenc	3	3841	-7.154875739677795	3844	TRUE	1.7313747973404732
bunker	1217	8567	-1.9515287989765169	9784	TRUE	32.643855785175
burleszk	3	1191	-5.983936280687191	1194	TRUE	1.729873495824995
bóher	0	33	-Inf	33	FALSE	0
charter	3	1950	-6.476972362889683	1953	TRUE	1.7307199961487487
codec	1	353	-5.8664680569332965	354	TRUE	0.9985865717317342
collen	0	7	-Inf	7	FALSE	0
docens	6	29878	-8.513118233374207	29884	TRUE	2.449243830652437
dodzsem	3	653	-5.382964840608321	656	TRUE	1.728085787165926
doglen	0	95	-Inf	95	FALSE	0
dojen	8	3075	-5.951618638560782	3083	TRUE	2.8247550334545686
dolmen	0	342	-Inf	342	FALSE	0
doppler	6	348	-4.060443010546419	354	TRUE	2.428642642453962
drukker	27	18506	-6.530013416804646	18533	TRUE	5.192366007915616
dublett	0	100	-Inf	100	FALSE	0
duett	20	11632	-6.3657829262193095	11652	TRUE	4.468296222210412
duplex	2	0	Inf	2	FALSE	0
dzsungel	505	19590	-3.6582160816632268	20095	TRUE	22.18803804074476
dzsóker	0	124	-Inf	124	FALSE	0
dózer	130	788	-1.8019636394022966	918	TRUE	10.563636397725697
facet	0	52	-Inf	52	FALSE	0
facser	0	2	-Inf	2	FALSE	0
faglett	0	21	-Inf	21	FALSE	0
falzett	31	212	-1.9225990701868663	243	TRUE	5.20050646473129
farmer	7287	20249	-1.0220134709289872	27536	TRUE	73.20247222109023
fater	5385	190	3.344348517430003	5575	TRUE	13.54712750649119
flanel	73	159	-0.7784447610718404	232	TRUE	7.07320100193633
flaszter	194	922	-1.5586870644932656	1116	TRUE	12.660015231550174
flóbert	5	50	-2.3025850929940455	55	TRUE	2.1320071635561044
fotel	11597	25177	-0.7751844353673116	36774	TRUE	89.10547356389542
fráter	34	997	-3.378390245345677	1031	TRUE	5.73400021685611
