stem	back	front	log_odds_back	stem_freq	stem_varies	sd_back
fuser	5	19	-1.3350010667323402	24	TRUE	1.9895560643855537
gatyesz	22	9	0.8938178760220965	31	TRUE	2.5272706175226958
groteszk	6	0	Inf	6	FALSE	0
gukker	18	52	-1.0608719606852628	70	TRUE	3.6566964013202643
gólem	1	1736	-7.459338895220296	1737	TRUE	0.999712105939046
halef	21	29	-0.322773392263051	50	TRUE	3.4899856733230297
hardver	116	33523	-5.6663968582915585	33639	TRUE	10.751743491594286
haver	71848	634	4.7302591009135595	72482	TRUE	25.068992849182006
hosztesz	0	898	-Inf	898	FALSE	0
hotel	7618	139392	-2.9067762398140284	147010	TRUE	84.98963616759963
jampec	183	281	-0.4288685164923248	464	TRUE	10.527365816503327
junker	25	218	-2.1656192379208883	243	TRUE	4.7358192046460825
kadet	158	416	-0.9680902272342965	574	TRUE	10.700874300794013
kampec	41	30	0.31237468504215243	71	TRUE	4.162204183118823
karcer	36	93	-0.9490805546971459	129	TRUE	5.094456631682423
kartell	141	5169	-3.601674634817871	5310	TRUE	11.715627691395362
karter	113	232	-0.7193495529539694	345	TRUE	8.717132888576463
klapec	18	9	0.6931471805599453	27	TRUE	2.4494897427831783
klaszter	77	20087	-5.564022696780865	20164	TRUE	8.758193941608374
klozet	388	185	0.7406495145449485	573	TRUE	11.192430750654768
koffer	668	2175	-1.180495769986139	2843	TRUE	22.60629715636893
kolesz	2920	320	2.211017899468555	3240	TRUE	16.982198377371375
komplett	5	1	1.6094379124341003	6	TRUE	0.9128709291752768
komplex	15	0	Inf	15	FALSE	0
koncert	69	510521	-8.909080547284567	510590	TRUE	8.306062574593154
konfekt	0	13	-Inf	13	FALSE	0
konszern	3	6888	-7.738923757439457	6891	TRUE	1.7316737419700763
konzerv	70	16657	-5.472090585427749	16727	TRUE	8.349075424333094
kopek	22	144	-1.8787708462176846	166	TRUE	4.368562389321868
korner	48	620	-2.5585184671312464	668	TRUE	6.674645923462369
kornett	8	71	-2.1832383353614793	79	TRUE	2.681393931842451
korrekt	8	15	-0.6286086594223742	23	TRUE	2.284160962880643
kortes	0	452	-Inf	452	FALSE	0
korvett	4	622	-5.0466457316192885	626	TRUE	1.9935999835896594
kotlett	0	52	-Inf	52	FALSE	0
krapek	436	39	2.414080597219388	475	TRUE	5.9831341901082356
krokett	47	1584	-3.5175609706643125	1631	TRUE	6.756153949281257
kráter	87	9093	-4.649352047071329	9180	TRUE	9.283075470773596
kukker	53	236	-1.493539891473488	289	TRUE	6.578774720007442
kupec	72	662	-2.218599436920953	734	TRUE	8.058370164014091
kábel	658	94028	-4.962142957912092	94686	TRUE	25.562225459975014
káder	52	3884	-4.313377110829788	3936	TRUE	7.163309858583621
kódex	19	48210	-7.838882768233227	48229	TRUE	4.358040256461757
kókler	29	2218	-4.337065337923838	2247	TRUE	5.350301223900468
kóter	222	254	-0.13465688514625712	476	TRUE	10.884033483683776
lasztex	1	19	-2.9444389791664407	20	TRUE	0.9746794344808963
latens	0	244	-Inf	244	FALSE	0
latex	125	2639	-3.049841599201023	2764	TRUE	10.924603467686776
lornyett	1	21	-3.044522437723423	22	TRUE	0.9770084209183945
luesz	1	22	-3.0910424533583156	23	TRUE	0.9780192938436515
lumen	2	1760	-6.779921907472252	1762	TRUE	1.4134107161191358
lumpen	1	414	-6.025865973825314	415	TRUE	0.9987944540523757
láger	552	6769	-2.5065605982315122	7321	TRUE	22.591579324129178
lóden	8	51	-1.8523840910444898	59	TRUE	2.6296870987416234
macesz	117	88	0.28483712031954966	205	TRUE	7.086916836248499
macher	14	40	-1.0498221244986778	54	TRUE	3.220305943597653
maglen	0	2	-Inf	2	FALSE	0
majszter	2	21	-2.3513752571634776	23	TRUE	1.3513278493843526
makett	345	17752	-3.94070904758107	18097	TRUE	18.396275248789667
malter	667	222	1.1001126640433443	889	TRUE	12.905906775437668
marlen	0	7	-Inf	7	FALSE	0
maszek	2084	80	3.260017768199376	2164	TRUE	8.777386505288252
matek	18299	276	4.194200826810537	18575	TRUE	16.489360328335525
mater	193	2954	-2.7282252741864395	3147	TRUE	13.459704599977396
modell	231	523157	-7.725219178681491	523388	TRUE	15.195329774493368
modem	89	21524	-5.4882875008771705	21613	TRUE	9.414537036475025
modern	22	323	-2.686609869864341	345	TRUE	4.5384029624169955
moped	18	3353	-5.227238988570064	3371	TRUE	4.231298392599425
motel	617	3365	-1.6963142181734405	3982	TRUE	22.834131008758867
muter	745	102	1.9884114050952884	847	TRUE	9.471887192601812
mutex	0	65	-Inf	65	FALSE	0
mutter	222	107	0.7298485474103733	329	TRUE	8.497094085788126
mágnes	10	15983	-7.376695843374607	15993	TRUE	3.1612888612760757
nonszensz	2	1980	-6.897704943128636	1982	TRUE	1.4134998537420367
notesz	628	3797	-1.7994263937636037	4425	TRUE	23.213652713788587
ofszet	0	232	-Inf	232	FALSE	0
okker	41	440	-2.373202660207999	481	TRUE	6.124148716776684
oklen	0	5	-Inf	5	FALSE	0
omlett	9	3760	-6.0349496590477205	3769	TRUE	2.9964160072158346
paccer	0	6	-Inf	6	FALSE	0
pajesz	271	14	2.963061491264442	285	TRUE	3.6485998275714477
pakett	61	889	-2.6792233713405933	950	TRUE	7.555339694198854
pamflet	10	1647	-5.104125637183595	1657	TRUE	3.152721042183242
panel	13651	66278	-1.580045238067159	79929	TRUE	106.39341301518884
parkett	355	9332	-3.269086843665905	9687	TRUE	18.492979648324823
parszek	9	177	-2.9789251552376097	186	TRUE	2.9265194564588595
partner	471	655199	-7.237836191251888	655670	TRUE	21.69473801503814
pasztell	84	2083	-3.2107476424176586	2167	TRUE	8.985760154603966
plakett	83	6871	-4.416224327234478	6954	TRUE	9.055901232806024
pollen	7	10478	-7.311122950912852	10485	TRUE	2.6448679848206478
poszter	40	15402	-5.953373195985259	15442	TRUE	6.316358640738779
prakker	32	40	-0.2231435513142097	72	TRUE	4.216370213557839
projekt	193	704053	-8.201918727492497	704246	TRUE	13.890540233223266
puffer	272	4314	-2.763818760653104	4586	TRUE	15.995856419413522
pátens	2	616	-5.730099782973574	618	TRUE	1.4119233364778043
páter	32	923	-3.3618933317031257	955	TRUE	5.561272218755298
póker	78	4730	-4.104971654796387	4808	TRUE	8.7598292783036
púder	140	4318	-3.4289051884654485	4458	TRUE	11.644887702366125
rakett	2	25	-2.5257286443082556	27	TRUE	1.3608276348795434
ranett	0	4	-Inf	4	FALSE	0
raszter	47	1230	-3.2646218466564045	1277	TRUE	6.72831066820824
rocker	12	6309	-6.264825814582809	6321	TRUE	3.4608118692720846
roller	372	5646	-2.719808754540288	6018	TRUE	18.681675113459857
rubel	119	3917	-3.493957840554302	4036	TRUE	10.746689166788618
rulett	40	3046	-4.332705079341171	3086	TRUE	6.283432938132655
sakter	46	226	-1.591893602783191	272	TRUE	6.182280180911741
saller	96	3971	-3.722425039663415	4067	TRUE	9.681629833509215
samesz	484	188	0.9456429438866825	672	TRUE	11.636355181273984
skanzen	829	9519	-2.44082492511601	10348	TRUE	27.614979086814653
sláger	34	52571	-7.343559391272451	52605	TRUE	5.829067241212422
sparherd	11	139	-2.5365786603323213	150	TRUE	3.1927000067863145
srapnel	10	320	-3.4657359027997265	330	TRUE	3.113995776646092
stukker	113	510	-1.507022907006031	623	TRUE	9.617900646247678
subler	10	64	-1.8562979903656263	74	TRUE	2.940858488375231
sumer	985	684	0.3646837235495385	1669	TRUE	20.091760739431106
suszter	178	747	-1.4342816348407321	925	TRUE	11.989454826097266
szkander	139	375	-0.9924520928397191	514	TRUE	10.0702783395781
szlogen	25	31893	-7.151266004088514	31918	TRUE	4.9980414736766905
szoftver	61	191360	-8.051037885571093	191421	TRUE	7.809005133270775
szolvens	0	8	-Inf	8	FALSE	0
szonett	20	4499	-5.4158781552871815	4519	TRUE	4.4622286855089754
szovjet	8	31869	-8.289947487768288	31877	TRUE	2.8280721848703148
szubrett	1	425	-6.052089168924417	426	TRUE	0.9988256014738631
sábesz	10	102	-2.3223877202902252	112	TRUE	3.017804310611087
sóder	373	1294	-1.2439150554170304	1667	TRUE	17.01585414081737
sólet	86	1280	-2.700268060660155	1366	TRUE	8.97695112704393
tandem	20	2024	-4.617098756853365	2044	TRUE	4.450202836248853
tangens	0	225	-Inf	225	FALSE	0
taszter	0	33	-Inf	33	FALSE	0
tatjen	0	3	-Inf	3	FALSE	0
token	6	3934	-6.48565252972095	3940	TRUE	2.4476239384681704
tormeny	0	2	-Inf	2	FALSE	0
tornesz	0	2	-Inf	2	FALSE	0
torpej	0	3	-Inf	3	FALSE	0
totem	2	2021	-6.918200536843676	2023	TRUE	1.4135143220028468
transzfer	36	13467	-5.9244785889939315	13503	TRUE	5.991996439300815
traverz	16	427	-3.284195290988843	443	TRUE	3.9271009531412004
tróger	79	756	-2.2585935237125114	835	TRUE	8.457289666494463
tábesz	0	5	-Inf	5	FALSE	0
tájpej	0	5	-Inf	5	FALSE	0
valcer	16	225	-2.643511679964639	241	TRUE	3.864939758404985
valdens	0	361	-Inf	361	FALSE	0
vamzer	9	107	-2.4756042571256867	116	TRUE	2.8812712711459563
varsekk	0	3	-Inf	3	FALSE	0
vátesz	1	737	-6.602587892189336	738	TRUE	0.9993222635615923
zacsek	59	12	1.5926307941177191	71	TRUE	3.157820606987593
zsakett	67	413	-1.8187549735700668	480	TRUE	7.592622515749526
zsorzsett	1	58	-4.060443010546419	59	TRUE	0.9914892069294688
zsáner	19	6539	-5.841100548394835	6558	TRUE	4.35258000839625
ágens	7	7110	-6.923347373741973	7117	TRUE	2.644449862745976
ájer	15	67	-1.4966424182887559	82	TRUE	3.5008709717691127
ámen	1	445	-6.09807428216624	446	TRUE	0.998878294655376
ómen	2	996	-6.210600077024653	998	TRUE	1.4127958040594315
