stem	knn	back	front	suffix_freq	stem_varies
ámen	-0.2829477562055083	1	445	446	TRUE
zacsek	0.4996939375643968	59	12	71	TRUE
matek	1.3167185691850718	18299	276	18575	TRUE
bunker	-0.15415067982725836	1217	8567	9784	TRUE
rocker	-1.8544947182269775	12	6309	6321	TRUE
szubrett	-3.204033118794044	1	425	426	TRUE
latex	1.82946539011553	125	2639	2764	TRUE
dzsungel	-1.6027844116659773	505	19590	20095	TRUE
bagger	1.2840364318450848	6	47	53	TRUE
póker	-1.5095514949772448	78	4730	4808	TRUE
halef	-0.7346656785642722	21	29	50	TRUE
sakter	-1.3516746072769543	46	226	272	TRUE
lumpen	-0.07804609257385875	1	414	415	TRUE
klozet	0.17534019591457786	388	185	573	TRUE
