stem	knn	back	front	suffix_freq	stem_varies
karter	-1.2176961802337163	113	232	345	TRUE
sumer	-0.3321097470533499	985	684	1669	TRUE
korvett	-3.2055673192799587	4	622	626	TRUE
macesz	1.7918062714652105	117	88	205	TRUE
samesz	-1.4957856043345326	484	188	672	TRUE
sábesz	-1.2141043725779375	10	102	112	TRUE
flóbert	-1.1175437416360985	5	50	55	TRUE
káder	-2.241864119350936	52	3884	3936	TRUE
panel	-0.8755606473084692	13651	66278	79929	TRUE
fuser	-0.4972156146300658	5	19	24	TRUE
poszter	-2.1474417659951563	40	15402	15442	TRUE
majszter	-1.3516746072769543	2	21	23	TRUE
rakett	-2.049752117781575	2	25	27	TRUE
modern	-1.4282003807441774	22	323	345	TRUE
konszern	-1.9956507793902485	3	6888	6891	TRUE
saller	-1.195197428031515	96	3971	4067	TRUE
fotel	-2.046678184861635	11597	25177	36774	TRUE
pollen	-1.2289162565335594	7	10478	10485	TRUE
rubel	-1.2575336048074612	119	3917	4036	TRUE
projekt	-2.3108558802881403	193	704053	704246	TRUE
luesz	-0.9231980119517627	1	22	23	TRUE
páter	-0.7623509132322595	32	923	955	TRUE
bukfenc	-1.6005483663863413	3	3841	3844	TRUE
ágens	-1.6819761655662304	7	7110	7117	TRUE
subler	-1.3955816689747305	10	64	74	TRUE
sóder	-1.3029920889256945	373	1294	1667	TRUE
gukker	-1.47622275867797	18	52	70	TRUE
docens	-1.999200574866404	6	29878	29884	TRUE
szlogen	-2.1420341408417594	25	31893	31918	TRUE
brúder	-1.9102286489192624	2	8	10	TRUE
codec	-2.1465916405091034	1	353	354	TRUE
vátesz	-0.8562273792010017	1	737	738	TRUE
bagett	-1.0827748535694834	24	4529	4553	TRUE
konzerv	-1.9956507793902485	70	16657	16727	TRUE
tandem	-1.5218543731210517	20	2024	2044	TRUE
koncert	-1.30153777651735	69	510521	510590	TRUE
kampec	-0.14355701334371027	41	30	71	TRUE
szkander	-1.6358631402436374	139	375	514	TRUE
zsakett	-2.0541538195153493	67	413	480	TRUE
szonett	-1.7624318541335349	20	4499	4519	TRUE
jampec	-0.10466340862367055	183	281	464	TRUE
szovjet	-0.5954041874336226	8	31869	31877	TRUE
skanzen	-1.5353469045641999	829	9519	10348	TRUE
barchesz	-0.4025838548286372	8	37	45	TRUE
haver	0.5139821487226904	71848	634	72482	TRUE
pátens	-1.951187206156157	2	616	618	TRUE
hotel	-0.05529018994648462	7618	139392	147010	TRUE
farmer	1.275419515476145	7287	20249	27536	TRUE
parkett	-1.7624318541335349	355	9332	9687	TRUE
okker	2.948758522216075	41	440	481	TRUE
barter	-0.5893898431705991	45	564	609	TRUE
vamzer	3.4780552653663777	9	107	116	TRUE
pajesz	-1.5523082587243962	271	14	285	TRUE
suszter	-0.19886598173286288	178	747	925	TRUE
stukker	-0.5413349438902564	113	510	623	TRUE
makett	-2.059310691510337	345	17752	18097	TRUE
mater	3.108808306004673	193	2954	3147	TRUE
zsáner	-1.590799721672575	19	6539	6558	TRUE
klaszter	-1.8624749940264527	77	20087	20164	TRUE
kupec	-1.3990174444177863	72	662	734	TRUE
bankett	-2.081097794411083	107	5232	5339	TRUE
bróker	-1.88416316724618	28	8545	8573	TRUE
lumen	-1.197319898370384	2	1760	1762	TRUE
flanel	-1.126150837502716	73	159	232	TRUE
rulett	-1.958670503191766	40	3046	3086	TRUE
bakter	0.14521087417732484	366	268	634	TRUE
lornyett	-2.0144862670459225	1	21	22	TRUE
drukker	-1.9040671118307355	27	18506	18533	TRUE
charter	1.164709420198973	3	1950	1953	TRUE
fráter	-0.6503970490826193	34	997	1031	TRUE
azbeszt	-1.7835961585888942	30	3407	3437	TRUE
kartell	-1.306842247058961	141	5169	5310	TRUE
doppler	-2.602283495098005	6	348	354	TRUE
srapnel	-1.6349669116336207	10	320	330	TRUE
kornett	-3.018436183011514	8	71	79	TRUE
ómen	-0.558225289449503	2	996	998	TRUE
malter	-1.4777895625252149	667	222	889	TRUE
hardver	1.239050084192368	116	33523	33639	TRUE
kábel	-1.9662379278586004	658	94028	94686	TRUE
szoftver	1.0500150972444153	61	191360	191421	TRUE
partner	-1.4392761816505788	471	655199	655670	TRUE
macher	2.8575235655462956	14	40	54	TRUE
pamflet	-1.626104964919312	10	1647	1657	TRUE
komplett	-1.0290013319893443	5	1	6	TRUE
prakker	-1.4656620772051936	32	40	72	TRUE
púder	-1.5290379190880665	140	4318	4458	TRUE
burleszk	-0.6483032098523018	3	1191	1194	TRUE
balett	-0.670303765622633	2755	14133	16888	TRUE
krokett	-2.5176233223969944	47	1584	1631	TRUE
zsorzsett	-3.097746389080506	1	58	59	TRUE
pakett	-1.6775019645516382	61	889	950	TRUE
kódex	-2.0559138546438573	19	48210	48229	TRUE
krapek	1.1201577633205746	436	39	475	TRUE
pasztell	-1.3455367756607897	84	2083	2167	TRUE
notesz	-1.9765652515257734	628	3797	4425	TRUE
nonszensz	-1.3830364803526063	2	1980	1982	TRUE
koffer	-1.8882684845929845	668	2175	2843	TRUE
mutter	-0.5415342803851569	222	107	329	TRUE
klapec	-0.5638129140041203	18	9	27	TRUE
sparherd	-1.3621797402589422	11	139	150	TRUE
gólem	0.94653086497058	1	1736	1737	TRUE
korrekt	-3.1205319783793373	8	15	23	TRUE
bojler	-1.8072636557640203	312	915	1227	TRUE
gatyesz	0.24923282886148887	22	9	31	TRUE
bovden	1.0862839477427682	13	531	544	TRUE
modell	-1.9558232960605286	231	523157	523388	TRUE
kadet	-1.5281484589718484	158	416	574	TRUE
sólet	-1.2627947551865581	86	1280	1366	TRUE
korner	-1.0668032538595074	48	620	668	TRUE
lóden	-2.3820732463763705	8	51	59	TRUE
raszter	-1.1637899916746781	47	1230	1277	TRUE
muter	-0.9076646771543877	745	102	847	TRUE
kukker	-1.4494448273962863	53	236	289	TRUE
láger	-0.7835833688005364	552	6769	7321	TRUE
sláger	-1.5984431110778274	34	52571	52605	TRUE
balek	0.4754510774968708	5215	225	5440	TRUE
fater	0.5959073885971742	5385	190	5575	TRUE
plakett	-2.082853091177202	83	6871	6954	TRUE
puffer	-0.9001270452153612	272	4314	4586	TRUE
brojler	-1.9294741727640605	1	255	256	TRUE
kóter	0.07257532031140307	222	254	476	TRUE
maszek	1.8275073878810366	2084	80	2164	TRUE
karcer	-1.054480619045516	36	93	129	TRUE
kókler	-1.1310133845668664	29	2218	2247	TRUE
falzett	-1.4542644284194939	31	212	243	TRUE
junker	-1.4633269611669228	25	218	243	TRUE
dodzsem	-2.146839037700818	3	653	656	TRUE
kolesz	-0.8309562914712821	2920	320	3240	TRUE
kráter	-1.7834717597135614	87	9093	9180	TRUE
barrel	-1.4572118673625105	2	81	83	TRUE
totem	-2.104043099284315	2	2021	2023	TRUE
valcer	1.3091386189498213	16	225	241	TRUE
dózer	2.850918751600451	130	788	918	TRUE
tróger	-2.0704660928862824	79	756	835	TRUE
transzfer	-2.0026474807078345	36	13467	13503	TRUE
modem	-2.128708084269642	89	21524	21613	TRUE
kopek	-1.9833948819212233	22	144	166	TRUE
parszek	-1.4021823461934746	9	177	186	TRUE
duett	-1.4292811933496878	20	11632	11652	TRUE
flaszter	-0.5580617860686885	194	922	1116	TRUE
roller	-1.1505932067853288	372	5646	6018	TRUE
traverz	2.5903133409589603	16	427	443	TRUE
token	-2.0046022735663693	6	3934	3940	TRUE
dojen	-2.115573242254759	8	3075	3083	TRUE
moped	-2.139261555028962	18	3353	3371	TRUE
lasztex	-2.200218827465512	1	19	20	TRUE
mágnes	-1.6644071058043932	10	15983	15993	TRUE
omlett	-1.6798876961229046	9	3760	3769	TRUE
ájer	-1.6117844931160379	15	67	82	TRUE
motel	-1.4776493028693278	617	3365	3982	TRUE
