formula	AIC	BIC	R2_conditional	R2_marginal	RMSE	Chi2	p
1 + (1 | stem) + (1 | suffix)	21115.724884952422	21131.071631330975	0.6843490004867275	0	0.1519044714886568	NA	NA
1 + knn + (1 | stem) + (1 | suffix)	21095.15498469758	21115.617313202318	0.6821902142602138	0.08196173050722481	0.15201775333821976	22.56990025484265	2.0263458918891365e-6
1 + knn + suffix_initial + (1 + suffix_initial | stem) + (1 | suffix)	16574.846398775087	16610.65547365838	0.6896304036312264	0.06920887748894872	0.14440835069350036	4526.308585922492	0
1 + knn * suffix_initial + (1 + suffix_initial | stem) + (1 | suffix)	16563.035010026415	16603.95966703589	0.6988470745372016	0.10807195889583046	0.14433075908499077	13.81138874867247	2.021074073077551e-4
