suffix	examples	suffix_initial	back	front	suffix_freq
Abl	havertól, hoteltől	C	1719	35423	37142
Acc	flóbertot, flóbertet/flőbörtöt	V	7932	312008	319940
Ade	havernál, modellnél	C	1809	27679	29488
All	matekhoz, projekthez	C	2663	84374	87037
Dat	havernak, projektnek	C	7340	118881	126221
Del	matekról, projektről	C	1271	57488	58759
Distr:nként/Adv	panelonként, projektenként	V	18	4857	4875
Ela	matekból, modellből	C	11000	45842	56842
Ill	fotelba, projektbe	C	10210	64146	74356
Ine	panelban, projektben	C	21882	250775	272657
Ins	haverral, szoftverrel	C	11549	235248	246797
Pl	haverok, projektek	V	28846	1095625	1124471
Pl.Poss.1Pl	bunkeraink, partnereink	V	2	117525	117527
Pl.Poss.1Pl	haverjaink, projektjeink	C	278	8816	9094
Pl.Poss.1Sg	haveraim, partnereim	V	2	2885	2887
Pl.Poss.1Sg	haverjaim, projektjeim	C	2042	1487	3529
Pl.Poss.3Pl	haverjaik, projektjeik	C	676	6949	7625
Pl.Poss.3Pl	sameszaik, partnereik	V	29	12463	12492
Pl.Poss.3Sg	haverjai, modelljei	C	5137	44512	49649
Pl.Poss.3Sg	sameszai, partnerei	V	152	89488	89640
Poss.1Pl	haverunk, partnerünk	V	1639	106695	108334
Poss.1Sg	haverom, partnerem	V	22020	24556	46576
Poss.2Pl	haverotok, koncertetek	V	151	1274	1425
Poss.2Sg	haverod, partnered	V	4495	23739	28234
Poss.3Pl	haverjuk, koncertjük	C	656	18140	18796
Poss.3Pl	pajeszuk, partnerük	V	75	12416	12491
Poss.3Sg	haverja, modellje	C	14434	206976	221410
Poss.3Sg	samesza, partnere	V	679	206081	206760
Subl	panelra, koncertre	C	4631	167660	172291
Supe	panelon, koncerten	V	3525	184920	188445
Transl	balekká, partnerré	C	246	11879	12125
